"code_muni","year","biome","LV","LTA","UR","SDII","TASMAX","TASMIN","PREC_MEAN","PREC_SUM"
"3523305",2003,"Mata Atlantica",0,0,83.2958333333333,5.51666666666667,23.8758333333333,18.1658333333333,4.1325,125.424166666667
"3523404",2003,"Mata Atlantica",0,0,63.9283333333333,4.59166666666667,29.8458333333333,19.6358333333333,4.065,123.02
"3523503",2003,"Cerrado",0,0,68.9241666666667,4.5,27.4066666666667,19.5075,3.87083333333333,117.286666666667
"3523602",2003,"Cerrado",0,0,81.5266666666667,5.23333333333333,23.95,19.755,3.95666666666667,119.791666666667
"3523701",2003,"Cerrado",0,0,63.895,4.725,29.6791666666667,19.54,4.04166666666667,123.278333333333
"3523800",2003,"Cerrado",0,0,67.5375,4.5,27.6533333333333,19.8675,4.03666666666667,122.3525
"3523909",2003,"Mata Atlantica",0,0,64.7158333333333,4.58333333333333,28.7766666666667,16.8241666666667,4.11833333333333,124.59
"3524006",2003,"Mata Atlantica",0,0,75.255,4.525,25.4616666666667,16.725,3.82666666666667,115.756666666667
"3524105",2003,"Cerrado",0,0,64.3666666666667,4.65,29.0816666666667,16.98,3.905,118.294166666667
"3524204",2003,"Cerrado",0,0,66.2616666666667,4.41666666666667,28.015,16.6558333333333,3.98,121.446666666667
"3524303",2003,"Cerrado",0,0,64.3191666666667,4.68333333333333,29.1966666666667,17.0633333333333,3.95916666666667,120.134166666667
"3524501",2003,"Mata Atlantica",0,0,82.415,6.38333333333333,24.7391666666667,19.0833333333333,3.98916666666667,120.583333333333
"3524600",2003,"Mata Atlantica",0,0,75.4691666666667,4.45,25.0591666666667,18.9858333333333,3.83166666666667,116.0225
"3524709",2003,"Mata Atlantica",0,0,64.18,4.55833333333333,29.0408333333333,19.205,3.9375,119.203333333333
"3524808",2003,"Cerrado",0,0,67.6941666666667,4.35833333333333,27.5566666666667,18.9283333333333,3.88666666666667,118.605833333333
"3524907",2003,"Mata Atlantica",0,0,71.9166666666667,4.55,26.5325,19.3141666666667,3.93833333333333,119.3675
"3525003",2003,"Mata Atlantica",0,0,85.0483333333333,4.69166666666667,22.9175,17.8083333333333,4.10916666666667,124.334166666667
"3525102",2003,"Cerrado",0,0,86.8033333333333,4.925,23.1725,17.6958333333333,3.895,117.879166666667
"3525201",2003,"Mata Atlantica",0,0,65.3308333333333,4.64166666666667,28.5941666666667,17.95,3.95583333333333,119.851666666667
