"code_muni","year","PREC_MEAN"
"1301506",2004,6.13
"1301506",2005,6.175
"1301605",2001,6.0275
"1301605",2002,5.91583333333333
"1301605",2003,5.985
"1301605",2004,5.98
"1301605",2005,5.95583333333333
"1301654",2001,6.4425
"1301654",2002,6.42916666666667
"1301654",2003,6.4525
"1301654",2004,6.41833333333333
"1301654",2005,6.36166666666667
"1301704",2001,5.68166666666667
"1301704",2002,5.3325
"1301704",2003,5.51666666666667
"1301704",2004,5.3775
"1301704",2005,5.64583333333333
"1301803",2001,6.5275
"1301803",2002,6.46
"1301803",2003,6.51416666666667
"1301803",2004,6.52666666666667
"1301803",2005,6.45416666666667
"1301852",2001,4.70333333333333
"1301852",2002,4.56666666666667
"1301852",2003,4.74833333333333
"1301852",2004,4.53916666666667
"1301852",2005,4.7375
"1301902",2001,4.63416666666667
"1301902",2002,4.21666666666667
"1301902",2003,4.57333333333333
"1301902",2004,4.49583333333333
"1301902",2005,4.8
"1301951",2001,6.2875
"1301951",2002,6.20083333333333
"1301951",2003,6.29833333333333
"1301951",2004,6.14166666666667
"1301951",2005,6.34583333333333
"1302009",2001,4.69416666666667
"1302009",2002,4.25166666666667
"1302009",2003,4.5925
"1302009",2004,4.56666666666667
"1302009",2005,4.94583333333333
"1302108",2001,7.2125
"1302108",2002,7.02333333333333
"1302108",2003,7.09
"1302108",2004,7.105
"1302108",2005,7.115
"1302207",2001,6.24416666666667
"1302207",2002,6.1275
"1302207",2003,6.15916666666667
"1302207",2004,6.16666666666667
"1302207",2005,6.19333333333333
"1302306",2001,6.8125
"1302306",2002,6.70916666666667
"1302306",2003,6.8025
"1302306",2004,6.72583333333333
"1302306",2005,6.85666666666667
"1302405",2001,5.6575
"1302405",2002,5.54
"1302405",2003,5.57833333333333
"1302405",2004,5.45166666666667
"1302405",2005,5.70916666666667
"1302504",2001,5.07333333333333
"1302504",2002,4.93666666666667
"1302504",2003,5.10833333333333
"1302504",2004,4.86916666666667
"1302504",2005,5.09
"1302553",2001,4.9875
"1302553",2002,4.83166666666667
"1302553",2003,5.0675
"1302553",2004,4.8225
"1302553",2005,5.0525
"1302603",2001,4.785
"1302603",2002,4.63416666666667
"1302603",2003,4.78416666666667
"1302603",2004,4.71
"1302603",2005,4.895
"1302702",2001,5.6975
"1302702",2002,5.2925
"1302702",2003,5.52916666666667
"1302702",2004,5.39916666666667
"1302702",2005,5.62916666666667
"1302801",2001,5.84
"1302801",2002,5.7675
"1302801",2003,5.73833333333333
"1302801",2004,5.74833333333333
"1302801",2005,5.74666666666667
"1302900",2001,4.91416666666667
"1302900",2002,4.4775
"1302900",2003,4.90916666666667
"1302900",2004,4.87583333333333
"1302900",2005,5.04666666666667
"1303007",2001,4.125
"1303007",2002,3.74083333333333
"1303007",2003,3.97166666666667
"1303007",2004,4.025
"1303007",2005,4.30916666666667
"1303106",2001,4.77083333333333
"1303106",2002,4.36916666666667
"1303106",2003,4.76166666666667
"1303106",2004,4.66583333333333
"1303106",2005,4.8475
"1303205",2001,5.21416666666667
"1303205",2002,5.16416666666667
"1303205",2003,5.14833333333333
"1303205",2004,5.135
"1303205",2005,5.23166666666667
"1303304",2001,5.48083333333333
"1303304",2002,5.10166666666667
"1303304",2003,5.3275
"1303304",2004,5.21583333333333
"1303304",2005,5.50083333333333
"1303403",2001,4.24166666666667
"1303403",2002,3.75416666666667
"1303403",2003,4.1425
"1303403",2004,4.08916666666667
"1303403",2005,4.51833333333333
"1303502",2001,5.91166666666667
"1303502",2002,5.87
"1303502",2003,6.0275
"1303502",2004,5.82666666666667
"1303502",2005,5.94333333333333
"1303536",2001,4.52166666666667
"1303536",2002,4.35916666666667
"1303536",2003,4.4175
"1303536",2004,4.5225
"1303536",2005,4.64583333333333
"1303569",2001,4.88083333333333
"1303569",2002,4.66166666666667
"1303569",2003,4.84666666666667
"1303569",2004,4.83166666666667
"1303569",2005,5.05083333333333
"1303601",2001,5.98833333333333
"1303601",2002,6.04
"1303601",2003,5.88333333333333
"1303601",2004,5.9425
"1303601",2005,6.12083333333333
"1303700",2001,7.30333333333333
"1303700",2002,7.15583333333333
"1303700",2003,7.185
"1303700",2004,7.21833333333333
"1303700",2005,7.3125
"1303809",2001,7.2525
"1303809",2002,7.18166666666667
"1303809",2003,7.07666666666667
"1303809",2004,7.19
"1303809",2005,7.21583333333333
"1303908",2001,7.12666666666667
"1303908",2002,7.07083333333333
"1303908",2003,7.12916666666667
"1303908",2004,7.10916666666667
"1303908",2005,7.25916666666667
"1303957",2001,4.47666666666667
"1303957",2002,4.07583333333333
"1303957",2003,4.32666666666667
"1303957",2004,4.32083333333333
"1303957",2005,4.685
"1304005",2001,4.5825
"1304005",2002,4.11666666666667
"1304005",2003,4.5
"1304005",2004,4.42416666666667
"1304005",2005,4.7725
"1304062",2001,7.20666666666667
"1304062",2002,7.24
"1304062",2003,7.26
"1304062",2004,7.2675
"1304062",2005,7.46166666666667
"1304104",2001,6.20416666666667
"1304104",2002,5.94333333333333
"1304104",2003,6.07166666666667
"1304104",2004,5.9025
"1304104",2005,6.12583333333333
"1304203",2001,6.415
"1304203",2002,6.28166666666667
"1304203",2003,6.31333333333333
"1304203",2004,6.19916666666667
"1304203",2005,6.3325
"1304237",2001,6.83416666666667
"1304237",2002,6.65833333333333
"1304237",2003,6.74666666666667
"1304237",2004,6.71166666666667
"1304237",2005,6.7975
"1304260",2001,6.01583333333333
"1304260",2002,5.9
"1304260",2003,5.91
"1304260",2004,5.87916666666667
"1304260",2005,5.935
"1304302",2001,4.13
"1304302",2002,3.83
"1304302",2003,3.985
"1304302",2004,4.0825
"1304302",2005,4.24916666666667
"1304401",2001,4.40833333333333
"1304401",2002,3.88666666666667
"1304401",2003,4.22833333333333
"1304401",2004,4.19583333333333
"1304401",2005,4.61
"1600055",2001,3.79333333333333
"1600055",2002,3.74833333333333
"1600055",2003,3.6
"1600055",2004,3.73583333333333
"1600055",2005,4.28416666666667
"1600105",2001,6.32083333333333
"1600105",2002,6.5225
"1600105",2003,6.095
