"code_muni","year","PREC_SUM"
"1301704",2005,171.075833333333
"1301803",2001,197.7775
"1301803",2002,195.715833333333
"1301803",2003,197.475
"1301803",2004,198.435833333333
"1301803",2005,195.795833333333
"1301852",2001,142.971666666667
"1301852",2002,139.056666666667
"1301852",2003,144.243333333333
"1301852",2004,138.369166666667
"1301852",2005,143.870833333333
"1301902",2001,140.841666666667
"1301902",2002,128.403333333333
"1301902",2003,138.775833333333
"1301902",2004,137.099166666667
"1301902",2005,145.714166666667
"1301951",2001,190.515
"1301951",2002,188.155833333333
"1301951",2003,190.995833333333
"1301951",2004,186.85
"1301951",2005,192.433333333333
"1302009",2001,142.661666666667
"1302009",2002,129.5475
"1302009",2003,139.403333333333
"1302009",2004,139.173333333333
"1302009",2005,150.188333333333
"1302108",2001,219.363333333333
"1302108",2002,213.548333333333
"1302108",2003,215.4775
"1302108",2004,216.498333333333
"1302108",2005,216.185833333333
"1302207",2001,189.9125
"1302207",2002,186.355833333333
"1302207",2003,187.104166666667
"1302207",2004,187.863333333333
"1302207",2005,188.045833333333
"1302306",2001,206.699166666667
"1302306",2002,203.756666666667
"1302306",2003,206.398333333333
"1302306",2004,204.775833333333
"1302306",2005,208.13
"1302405",2001,171.4725
"1302405",2002,167.995833333333
"1302405",2003,169.18
"1302405",2004,165.881666666667
"1302405",2005,172.958333333333
"1302504",2001,154.2775
"1302504",2002,150.311666666667
"1302504",2003,155.200833333333
"1302504",2004,148.394166666667
"1302504",2005,154.515833333333
"1302553",2001,151.575
"1302553",2002,147.055
"1302553",2003,153.909166666667
"1302553",2004,146.956666666667
"1302553",2005,153.353333333333
"1302603",2001,145.535833333333
"1302603",2002,141.149166666667
"1302603",2003,145.350833333333
"1302603",2004,143.520833333333
"1302603",2005,148.650833333333
"1302702",2001,172.81
"1302702",2002,160.774166666667
"1302702",2003,167.719166666667
"1302702",2004,164.458333333333
"1302702",2005,170.615
"1302801",2001,177.6625
"1302801",2002,175.521666666667
"1302801",2003,174.453333333333
"1302801",2004,175.2425
"1302801",2005,174.59
"1302900",2001,149.120833333333
"1302900",2002,136.170833333333
"1302900",2003,148.840833333333
"1302900",2004,148.585833333333
"1302900",2005,153.115
"1303007",2001,125.5575
"1303007",2002,114.13
"1303007",2003,120.810833333333
"1303007",2004,122.685833333333
"1303007",2005,131.069166666667
"1303106",2001,144.978333333333
"1303106",2002,133.0225
"1303106",2003,144.420833333333
"1303106",2004,142.245833333333
"1303106",2005,147.1725
"1303205",2001,158.666666666667
"1303205",2002,157.293333333333
"1303205",2003,156.495
"1303205",2004,156.496666666667
